datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,pm2_5_calibrated_value,site_name,temperature
2026-01-19 03:00:00+00:00,aq_g501,hourly,0,0,0,airqo,25.92,25.92,Makerere University Weather Station 94,0
2026-01-19 03:00:00+00:00,airqo_g5341,hourly,97.9075,0.333445,32.568523,airqo,32.03,32.03,Makerere University Weather Station 94,21.442
2026-01-19 04:00:00+00:00,airqo_g5341,hourly,94.624,0.333445,32.568523,airqo,41.36,41.36,Makerere University Weather Station 94,21.9
2026-01-19 06:00:00+00:00,aq_g501,hourly,0,0,0,airqo,16.63,16.63,Makerere University Weather Station 94,0
2026-01-19 06:00:00+00:00,airqo_g5341,hourly,75.82,0,0,airqo,22.62,22.62,Makerere University Weather Station 94,26.52
2026-01-19 07:00:00+00:00,aq_g501,hourly,0,0,0,airqo,12.72,12.72,Makerere University Weather Station 94,0
2026-01-19 07:00:00+00:00,airqo_g5341,hourly,68.32,0,0,airqo,16.87,16.87,Makerere University Weather Station 94,28.91625
2026-01-19 08:00:00+00:00,airqo_g5341,hourly,62.70333333,0.277935,27.14043583,airqo,15.02,15.02,Makerere University Weather Station 94,31.21333333
2026-01-19 08:00:00+00:00,aq_g501,hourly,0,0,0,airqo,9.4,9.4,Makerere University Weather Station 94,0
2026-01-19 09:00:00+00:00,aq_g501,hourly,0,0,0,airqo,9.59,9.59,Makerere University Weather Station 94,0
2026-01-19 09:00:00+00:00,airqo_g5341,hourly,67.912,0.333522,32.568523,airqo,15,15,Makerere University Weather Station 94,29.394
2026-01-19 10:00:00+00:00,airqo_g5341,hourly,64.16285714,0.334482,32.569479,airqo,13.32,13.32,Makerere University Weather Station 94,30.79285714
2026-01-19 10:00:00+00:00,aq_g501,hourly,0,0,0,airqo,8.74,8.74,Makerere University Weather Station 94,0
2026-01-19 11:00:00+00:00,airqo_g5341,hourly,62.81714286,0.336882,32.571869,airqo,15.75,15.75,Makerere University Weather Station 94,31.49
2026-01-19 11:00:00+00:00,aq_g501,hourly,0,0,0,airqo,7.69,7.69,Makerere University Weather Station 94,0
2026-01-19 12:00:00+00:00,aq_g501,hourly,0,0,0,airqo,8.9,8.9,Makerere University Weather Station 94,0
2026-01-19 12:00:00+00:00,airqo_g5341,hourly,61.09142857,0.334104143,32.568999,airqo,14.19,14.19,Makerere University Weather Station 94,32.19428571
2026-01-19 13:00:00+00:00,airqo_g5341,hourly,65.69857143,0.334032,32.568699,airqo,16.65,16.65,Makerere University Weather Station 94,31.38142857
2026-01-19 13:00:00+00:00,aq_g501,hourly,0,0,0,airqo,11.3,11.3,Makerere University Weather Station 94,0
